Tabla 1
ID_Estrategia;ID_Categoría;Categoría;Nombre estrategia;Descripción;Efecto / para qué sirve;Duración aprox.;Tags
EST01;CAT01;Fisiológica;Respiración en caja (4-4-4-4);Siéntate con la espalda recta y los pies apoyados en el suelo. Inhala lentamente por la nariz durante 4 tiempos, sintiendo cómo el abdomen se expande. Retén el aire sin tensión durante 4 tiempos. Exhala lentamente por la boca durante 4 tiempos, vaciando los pulmones por completo. Mantén los pulmones vacíos durante 4 tiempos antes de volver a inhalar. Repite el ciclo completo al menos 3 veces y observa cómo se ralentiza tu ritmo cardíaco.;Calma la mente y regula el ritmo cardíaco. Equilibra el sistema nervioso autónomo en minutos.;5-10 min;respiración, ansiedad, pánico, estrés, enojo
EST02;CAT01;Fisiológica;Movimiento lento y consciente;Encuentra un lugar cómodo donde puedas sentarte o recostarte sin interrupciones. Comienza a mecerte suavemente hacia adelante y hacia atrás, siguiendo un ritmo lento y regular. Si prefieres, cruza los brazos sobre el pecho y date un abrazo propio apretando suavemente. Puedes también aplicar presión firme con ambas manos sobre el esternón durante 30 segundos. Continúa el movimiento o la presión hasta notar que tu cuerpo empieza a relajarse. Cierra con tres respiraciones lentas y profundas.;Brinda sensación de seguridad y contención desde el cuerpo, calmando el sistema nervioso de manera inmediata.;5-15 min;cuerpo, contención, ansiedad, enojo
EST03;CAT01;Fisiológica;Anclaje sensorial agradable;Elige un estímulo sensorial que sea agradable o neutro para ti en este momento. Toca un objeto con textura interesante como una manta suave, una piedra lisa o agua fría, y enfoca toda tu atención en la sensación. Ahora identifica un olor que te resulte agradable: aceites esenciales, café, una fruta. Permite que ese aroma ocupe tu atención completamente durante 20 segundos. Busca un sonido tranquilizador: lluvia, música suave o el silencio mismo. Permanece con estos estímulos sensoriales hasta sentir que el sistema nervioso se ha calmado.;Ayuda a conectar con el presente y salir del estado de alerta a través de los sentidos.;5-10 min;grounding, presente, ansiedad, pánico
EST04;CAT01;Fisiológica;Grounding 5-4-3-2-1;Detente donde estás y toma una respiración lenta antes de comenzar. Mira a tu alrededor y nombra en voz alta 5 cosas que puedas ver claramente ahora mismo. Toca 4 objetos distintos y describe brevemente cómo se siente cada uno al tacto. Escucha con atención y detecta 3 sonidos diferentes presentes en este momento. Percibe 2 olores a tu alrededor, acercando tu manga o algo cercano si es necesario. Finalmente, identifica 1 sabor en tu boca y observa cómo la atención en tus sentidos te ha traído de regreso al presente.;Reduce la disociación y el desbordamiento emocional anclando la atención al aquí y ahora.;5-10 min;grounding, ansiedad, disociación, pánico
EST05;CAT01;Fisiológica;Técnica de calor y frío;Decide si en este momento necesitas calmar la activación, en cuyo caso usa frío, o reconfortar el cuerpo, en cuyo caso usa calor. Para frío: moja tu rostro con agua helada o sostén un cubito de hielo en la mano durante 30 segundos. Para calor: aplica una compresa tibia en el cuello o el pecho y deja que el calor se distribuya. Observa cómo el cambio de temperatura modifica tu estado interno de forma inmediata. Repite la aplicación si es necesario hasta notar que la intensidad emocional ha bajado. Cierra con tres respiraciones profundas.;Estimula el nervio vago y modifica el estado fisiológico de forma inmediata, especialmente útil en picos de enojo o pánico.;2-5 min;cuerpo, activación, enojo, pánico
EST06;CAT02;Cognitiva;Reestructuración cognitiva;Escribe en un papel el pensamiento automático que más te está afectando en este momento, sin editarlo. Pregúntate: ¿Cuál es la evidencia real que apoya este pensamiento? ¿Y cuál la contradice? Evalúa si estás cayendo en algún sesgo cognitivo como catastrofismo, lectura mental o pensamiento todo-o-nada. Genera al menos dos interpretaciones alternativas posibles de la misma situación. Escribe un pensamiento más realista y equilibrado basado en toda la evidencia disponible. Lee el nuevo pensamiento en voz alta y nota si la intensidad emocional cambia.;Reduce la intensidad emocional al cambiar la interpretación de lo que ocurre, cuestionando sesgos cognitivos automáticos.;15-30 min;pensamientos, autoexigencia, ansiedad, tristeza
EST07;CAT02;Cognitiva;Perspectiva del observador;Identifica el pensamiento crítico o la situación difícil que te está generando malestar. Imagina que un amigo muy querido te describe exactamente la misma situación sobre sí mismo. Escribe o piensa cómo le responderías a ese amigo con genuina gentileza y realismo. Señala con suavidad lo que sería más justo y compasivo decirle. Aplica ahora esa misma respuesta hacia ti mismo, leyéndola en primera persona. Observa cómo cambia la sensación cuando te hablas como le hablarías a alguien que profundamente aprecias.;Fomenta la autocompasión y el distanciamiento de la autocrítica al adoptar la perspectiva que usaríamos con alguien querido.;10-15 min;autocompasión, autocrítica, tristeza
EST08;CAT02;Cognitiva;Técnica STOP;En el momento en que notes un pensamiento rumativo o ansioso, dite internamente STOP con firmeza. Haz una pausa completa: detén lo que estás haciendo durante unos segundos. Toma tres respiraciones lentas y profundas antes de continuar con cualquier cosa. Observa el pensamiento desde afuera, como si lo vieras en una pantalla, sin fusionarte con él. Pregúntate: ¿Qué está pasando realmente ahora mismo? ¿Este pensamiento me ayuda o me perjudica? Redirige la atención hacia una actividad concreta o hacia la respiración consciente.;Interrumpe ciclos mentales dañinos en tiempo real creando un espacio entre el pensamiento y la reacción.;2-5 min;rumiación, ansiedad, bucles mentales
EST09;CAT02;Cognitiva;Separar emoción de realidad;Reconoce la emoción que estás sintiendo y nómbrala con la mayor precisión posible. Recuérdate que sentir miedo, tristeza o angustia no significa que algo malo esté ocurriendo ahora mismo. Dibuja dos columnas: qué dice mi emoción versus qué dicen los hechos reales y verificables. Identifica con honestidad la diferencia entre lo que sientes y lo que realmente está sucediendo en el exterior. Practica en voz alta la frase: Siento X y eso es válido, pero la realidad observable es Y. Respira profundo y observa si puedes separar un poco la intensidad emocional de los hechos concretos.;Permite observar la emoción sin dejarse arrastrar por ella, separando el estado interno de la realidad externa.;10-20 min;ansiedad, miedo, pensamiento catastrófico
EST10;CAT02;Cognitiva;Autodiálogo compasivo;Identifica la frase autocrítica que más te repites cuando estás pasando un momento difícil. Escríbela exactamente como suena en tu mente, sin suavizarla ni editarla. Ahora pregúntate: ¿Le hablaría así a alguien que quiero y que está sufriendo? Reescribe esa misma idea con un tono amable, comprensivo y realista, como si se la dijeras a un amigo. Lee la nueva frase en voz alta y observa qué cambia en tu cuerpo y en tu estado de ánimo. Practica usar ese nuevo tono contigo mismo cada vez que notes que la autocrítica aparece.;Fortalece la relación contigo mismo y promueve la autorregulación emocional reduciendo la autocrítica excesiva.;5-15 min;autocompasión, autocrítica, autoexigencia
EST11;CAT03;Expresivo;Escritura libre o carta no enviada;Busca un lugar privado y tranquilo y toma papel o abre una nota digital. Si eliges escritura libre, escribe sin parar durante 15 a 20 minutos sobre lo que estás sintiendo, sin censurarte ni editar. Si eliges una carta no enviada, escríbela a la persona o situación con quien tienes emociones pendientes con total honestidad. Incluye lo que sientes, lo que necesitas y lo que nunca has podido decir en voz alta. No te preocupes por la gramática ni la coherencia: solo deja que fluya sin filtros. Al terminar, decide si guardas lo escrito o lo destruyes, ambas opciones son igualmente válidas y liberadoras.;Libera emociones contenidas y aclara lo que pasa internamente, reduciendo la rumiación y el peso emocional.;15-30 min;escritura, tristeza, rabia, emociones bloqueadas
EST12;CAT03;Expresivo;Mapa corporal de emociones;Dibuja una silueta simple del cuerpo humano en una hoja de papel en blanco. Cierra los ojos unos segundos y escanea tu cuerpo de cabeza a pies con atención plena. Identifica las zonas donde sientes tensión, peso, presión, vacío o cualquier sensación intensa ahora mismo. Marca esas zonas en el dibujo con colores que representen las distintas sensaciones o emociones. Escribe al lado de cada marca qué emoción crees que habita en esa parte del cuerpo. Observa el dibujo completo y reflexiona sobre qué te dice sobre tu estado emocional actual.;Conecta la experiencia emocional con lo corporal, facilitando la expresión de lo que es difícil verbalizar.;15-20 min;cuerpo, expresión, tristeza, rabia
EST13;CAT03;Expresivo;Danza y movimiento libre;Encuentra un espacio privado donde puedas moverte con libertad sin ser observado ni juzgado. Pon música que corresponda con tu estado emocional: algo melancólico si estás triste, intenso si estás enojado. Cierra los ojos y comienza a mover tu cuerpo siguiendo lo que él pida, sin planificar ni juzgar los movimientos. Deja que el movimiento se vuelva más amplio y expresivo con el tiempo, permitiendo exagerarlo. Permite que la emoción se mueva a través del cuerpo en lugar de quedarse estancada. Termina con movimientos más lentos y suaves, como si te despidieras de lo que liberaste.;Libera tensiones, desbloquea emociones y mejora la conexión mente-cuerpo a través del movimiento espontáneo.;10-20 min;cuerpo, movimiento, tristeza, rabia, bloqueo
EST14;CAT03;Expresivo;Expresión plástica fluida;Prepara materiales suaves y fluidos: acuarelas, témperas muy diluidas, o simplemente agua con colorante. Elige colores que representen cómo te sientes ahora mismo, sin pensar demasiado en la elección. Aplica el color sobre el papel dejando que fluya libremente, sin intentar crear nada específico ni bonito. Si tienes una pajilla, sopla suavemente sobre la pintura húmeda y observa cómo se expande. Deja que el proceso sea el fin: no busques un resultado concreto, solo expresión pura. Observa lo que creaste con curiosidad, como si fuera la obra de otra persona, y nota lo que sientes.;Estimula el juego y la creatividad como forma de descarga emocional sin necesidad de palabras.;20-30 min;creatividad, expresión, tristeza, bloqueo
EST15;CAT03;Expresivo;Escultura emocional;Consigue plastilina, barro, arcilla, o simplemente papel para arrugar y manipular. Cierra los ojos y conecta con la emoción que estás sintiendo ahora mismo, sin intentar cambiarla. Comienza a moldear o manipular el material dejando que tus manos expresen esa emoción sin un plan previo. Puede ser una bola de rabia, un nudo que representa tristeza, algo con agujeros para el vacío. Date tiempo suficiente para trabajar el material, cambiándolo cuantas veces quieras. Cuando termines, observa lo que creaste y decide si quieres destruirlo, guardarlo o transformarlo en algo nuevo.;Le da forma visible a lo invisible y permite transformar lo que pesa internamente a través de las manos.;15-25 min;creatividad, expresión, rabia, tristeza, vacío
EST16;CAT04;Vincular;Hablar con alguien de confianza;Identifica a una persona en tu vida con quien te sientas seguro, aceptado y escuchado sin condiciones. Envíale un mensaje o llámala sin necesidad de preparar un discurso ni explicar todo de antemano. Comienza simplemente compartiendo cómo estás en este momento con las palabras que tengas disponibles. Permite que la conversación fluya sin presionarte a resolverlo todo ni a llegar a una conclusión. Solo recibir presencia y escucha genuina ya tiene un efecto regulador profundo en el sistema nervioso. Cuando termines, agradece al otro por su tiempo y a ti mismo por haber dado ese paso.;Sentirse escuchado y comprendido calma el sistema nervioso y refuerza el sentido de pertenencia y vínculo afectivo.;Variable;conexión, soledad, apego, apoyo
EST17;CAT04;Vincular;Evocar una figura de apego;Cierra los ojos y toma tres respiraciones lentas y profundas para llegar al presente. Trae a tu mente a alguien que en algún momento de tu vida te haya hecho sentir seguro, querido o cuidado. Puede ser una persona real, un personaje, un animal, un ser imaginario o incluso un lugar especial. Visualiza su presencia con detalle: su rostro, su voz, la sensación de estar cerca de esa figura. Imagina que te transmite calidez, seguridad y calma en este momento específico. Permítete recibir ese cuidado interno durante varios minutos, sintiéndolo en tu cuerpo.;Refuerza la sensación interna de seguridad cuando no hay acceso inmediato al vínculo en el presente.;5-10 min;apego, soledad, seguridad, recurso interno
EST18;CAT04;Vincular;Visualización del lugar seguro;Siéntate o recuéstate cómodamente y cierra los ojos. Imagina un lugar real o inventado donde te sientas completamente a salvo, en paz y sin amenazas. Agrega detalles a esa imagen: ¿Cómo es la luz? ¿Qué sonidos hay? ¿Cómo está el aire, la temperatura, el suelo bajo tus pies? Explora ese lugar con calma, moviéndote libremente por él en tu imaginación sin prisa. Cada vez que inhales, imagina que ese lugar te recibe con más calidez y protección. Permanece allí tanto tiempo como necesites y regresa a él mentalmente cuando necesites refugiarte.;Disminuye la activación emocional y brinda una sensación de refugio y seguridad internos accesibles en cualquier momento.;10-15 min;visualización, ansiedad, soledad, seguridad
EST19;CAT04;Vincular;Abrazo de mariposa (EMDR);Siéntate cómodamente con la espalda apoyada en el respaldo y los pies bien plantados en el suelo. Cruza los brazos sobre el pecho colocando cada mano sobre el hombro o brazo contrario. Comienza a dar palmaditas suaves y alternadas: primero el lado izquierdo, luego el derecho, de manera rítmica. Mantén un ritmo lento y constante mientras respiras profundo y sin forzar. Continúa durante 30 a 60 segundos con los ojos cerrados o semi-abiertos. Detente, toma una respiración profunda y observa cómo se siente tu cuerpo antes de repetir si es necesario.;Estimula bilateralmente el cerebro promoviendo la autorregulación emocional y la sensación de contención propia.;5-10 min;EMDR, autorregulación, ansiedad, trauma
EST20;CAT04;Vincular;El espejo emocional;Cierra los ojos y respira profundamente para conectar con el momento presente. Imagina vívidamente a la persona que más te quiere en el mundo mirándote ahora mismo en este momento difícil. ¿Qué notaría en tu rostro, tu postura, tu mirada? ¿Qué le generaría verte así? Imagina que esa persona te habla con toda la ternura y comprensión que genuinamente tiene hacia ti. ¿Qué palabras exactas te diría? ¿Cómo tomaría tus manos o te abrazaría? Deja que esas palabras imaginadas lleguen a tu cuerpo como si fueran reales y observa qué cambia.;Fomenta una mirada compasiva hacia uno mismo a través de la perspectiva del vínculo afectivo real.;10-15 min;autocompasión, soledad, apego, autocrítica
EST21;CAT04;Vincular;Álbum de apoyo emocional;Reúne fotos, mensajes, notas o cualquier recuerdo que evoque momentos en que te sentiste querido o acompañado. Organízalos en un álbum físico, una carpeta digital o una nota especial que puedas abrir cuando lo necesites. Para cada elemento, escribe una frase corta sobre lo que ese momento significó para ti. Incluye también frases que alguien te haya dicho y que te hayan reconfortado profundamente. Vuelve a este álbum en momentos de soledad o dolor como forma de reconectar con el amor que has recibido. Actualízalo cada vez que encuentres un nuevo recuerdo que valga la pena conservar.;Activa la memoria emocional positiva y funciona como recurso de consuelo para reconectar con el amor recibido.;Variable;memoria, consuelo, soledad, apego
EST22;CAT05;Reflexiva;Registro emocional completo;Toma papel o una nota digital y escribe la fecha y la hora del registro. Nombra la emoción que estás sintiendo ahora con la mayor precisión que puedas, evitando palabras genéricas. Escribe el pensamiento principal que acompaña a esa emoción en este momento concreto. Escanea tu cuerpo y describe dónde y cómo se manifiesta físicamente esa emoción ahora mismo. Reflexiona brevemente sobre qué situación o evento desencadenó este estado emocional hoy. Cierra el registro con una frase sobre qué necesita esa emoción de tu parte ahora mismo.;Ayuda a tomar conciencia del estado emocional completo y a entender su impacto en el cuerpo, la mente y la conducta.;10-15 min;autoconocimiento, duelo, crisis existencial, registro
EST23;CAT05;Reflexiva;Mapa de la situación (modelo cognitivo);Escribe en el centro de una hoja la situación o evento concreto que ocurrió recientemente. En un primer nivel, anota el pensamiento automático que surgió ante esa situación sin editarlo. En un segundo nivel, identifica la emoción que ese pensamiento generó y valora su intensidad del 1 al 10. En un tercer nivel, observa qué conducta o impulso surgió a raíz de esa emoción. Busca el patrón: ¿esta cadena situación-pensamiento-emoción-conducta se repite en tu vida? Identifica en qué eslabón de la cadena podrías intervenir de manera diferente para obtener un resultado distinto.;Facilita el análisis de cómo las interpretaciones influyen en lo que sentimos y hacemos, identificando puntos de cambio posibles.;20-30 min;patrones, autoconocimiento, duelo, TCC
